"","Harmala.alkaloids","Azaspirodecane.derivatives","Pyrroles","Dihydroisoquinolines","Isocoumarins.and.derivatives","Benzazepines","Phenol.esters","Indolonaphthyridine.alkaloids","Trithiolanes","Pyrrolizidines","Ergoline.and.derivatives","Lupin.alkaloids","Azolidines","Pyrrolizines","Saxitoxins..gonyautoxins..and.derivatives","Benzoxepines","Quinolizidines","X5..deoxyribonucleosides","Glycerolipids","Azetidines","Gelsemium.alkaloids","Pyrrolines","Daphniphylline.type.alkaloids","Aspidospermatan.type.alkaloids","Tropones","Aporphines","Dibenzylbutane.lignans","Aspidofractine.alkaloids","Naphthacenes","Cycloheptapyrans","Tannins","Tetrapyrroles.and.derivatives","Macrolide.lactams","Saccharolipids"
"GAL15",0.688137588930975,0.777203683577293,7.03610885155661e-22,0.347573651777449,0.898749178074427,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.92168358488709,0.777203683577293,0.92168358488709,0.777203683577293,0.92168358488709,0.777203683577293,0.726828835082088,0.898749178074427,0.898749178074427,0.898749178074427,0.726828835082088,0.92168358488709,1,0.898749178074427,0.898749178074427,0.777203683577293,0.688137588930975,0.92168358488709,0.777203683577293,0.726828835082088,0.871334532878964,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709
"Gemmatimonadota",0.92168358488709,0.726828835082088,0.92168358488709,1,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.726828835082088,0.898749178074427,0.898749178074427,0.898749178074427,0.898749178074427,0.871334532878964,0.347573651777449,0.347573651777449,0.777203683577293,0.92168358488709,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.92168358488709,0.347573651777449,0.726828835082088,0.777203683577293,0.898749178074427,0.871334532878964,0.347573651777449,0.898749178074427,0.92168358488709
"Hydrogenedentes",0.688137588930975,0.898749178074427,0.898749178074427,0.870115385524812,0.496794721672675,0.688137588930975,0.92168358488709,0.260622466234376,0.984343618804246,0.984343618804246,0.898749178074427,0.726828835082088,0.92168358488709,0.984343618804246,0.92168358488709,0.777203683577293,0.870115385524812,0.870115385524812,0.260622466234376,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.777203683577293,0.92168358488709,0.688137588930975,0.92168358488709,0.898749178074427,0.92168358488709,0.260622466234376,0.92168358488709,0.870115385524812,0.92168358488709,0.92168358488709
"Latescibacterota",0.726828835082088,1,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.777203683577293,1,0.871334532878964,0.898749178074427,1,0.92168358488709,0.347573651777449,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,1,0.688137588930975,0.92168358488709,0.898749178074427,0.871334532878964,0.871334532878964,0.347573651777449,0.726828835082088,0.92168358488709,1,0.92168358488709,0.898749178074427,0.726828835082088,0.898749178074427,0.777203683577293,0.92168358488709
"MBNT15",0.726828835082088,1,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.777203683577293,1,0.871334532878964,0.898749178074427,1,0.92168358488709,0.347573651777449,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,1,0.688137588930975,0.92168358488709,0.898749178074427,0.871334532878964,0.871334532878964,0.347573651777449,0.726828835082088,0.92168358488709,1,0.92168358488709,0.898749178074427,0.726828835082088,0.898749178074427,0.777203683577293,0.92168358488709
"Methylomirabilota",0.347573651777449,0.898749178074427,0.347573651777449,5.25168474221915e-22,0.777203683577293,0.347573651777449,0.726828835082088,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.92168358488709,0.688137588930975,0.898749178074427,0.688137588930975,0.871334532878964,0.92168358488709,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.726828835082088,0.726828835082088,0.726828835082088,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.871334532878964,0.92168358488709,0.726828835082088,0.92168358488709
"Myxococcota",0.92168358488709,0.92168358488709,0.777203683577293,0.871334532878964,0.92168358488709,0.92168358488709,0.688137588930975,0.898749178074427,0.347573651777449,0.92168358488709,0.92168358488709,0.777203683577293,0.726828835082088,0.92168358488709,0.726828835082088,1,0.92168358488709,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.92168358488709,0.898749178074427,0.898749178074427,0.898749178074427,0.92168358488709,0.898749178074427,0.92168358488709,0.777203683577293,0.92168358488709,0.871334532878964,0.92168358488709,0.688137588930975,0.898749178074427
"NB1.j",0.347573651777449,0.898749178074427,0.347573651777449,5.25168474221915e-22,0.777203683577293,0.347573651777449,0.726828835082088,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.92168358488709,0.688137588930975,0.898749178074427,0.688137588930975,0.871334532878964,0.92168358488709,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709,0.898749178074427,0.726828835082088,0.726828835082088,0.726828835082088,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.871334532878964,0.92168358488709,0.726828835082088,0.92168358488709
"Nitrospirota",0.898749178074427,0.898749178074427,0.688137588930975,0.777203683577293,0.92168358488709,0.898749178074427,0.347573651777449,0.898749178074427,0.688137588930975,0.92168358488709,0.898749178074427,0.898749178074427,0.777203683577293,0.92168358488709,0.777203683577293,0.898749178074427,1,1,0.898749178074427,0.871334532878964,0.92168358488709,0.92168358488709,0.92168358488709,0.92168358488709,0.871334532878964,0.898749178074427,0.92168358488709,0.898749178074427,0.726828835082088,0.92168358488709,0.898749178074427,1,0.347573651777449,1
"Patescibacteria",0.688137588930975,0.777203683577293,7.03610885155661e-22,0.347573651777449,0.898749178074427,0.688137588930975,0.347573651777449,0.898749178074427,0.726828835082088,0.92168358488709,0.777203683577293,0.92168358488709,0.777203683577293,0.92168358488709,0.777203683577293,0.726828835082088,0.898749178074427,0.898749178074427,0.898749178074427,0.726828835082088,0.92168358488709,1,0.898749178074427,0.898749178074427,0.777203683577293,0.688137588930975,0.92168358488709,0.777203683577293,0.726828835082088,0.871334532878964,0.92168358488709,0.898749178074427,0.347573651777449,0.92168358488709
"Planctomycetota",0.347573651777449,0.92168358488709,0.777203683577293,0.726828835082088,0.871334532878964,0.347573651777449,0.92168358488709,0.777203683577293,0.92168358488709,1,0.92168358488709,0.777203683577293,0.898749178074427,1,0.898749178074427,0.777203683577293,0.92168358488709,0.92168358488709,0.777203683577293,0.898749178074427,0.898749178074427,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.347573651777449,0.898749178074427,0.92168358488709,1,0.688137588930975,0.92168358488709,0.92168358488709,0.92168358488709,0.898749178074427
"Proteobacteria",0.347573651777449,0.92168358488709,0.777203683577293,0.726828835082088,0.871334532878964,0.347573651777449,0.92168358488709,0.777203683577293,0.92168358488709,1,0.92168358488709,0.777203683577293,0.898749178074427,1,0.898749178074427,0.777203683577293,0.92168358488709,0.92168358488709,0.777203683577293,0.898749178074427,0.898749178074427,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.347573651777449,0.898749178074427,0.92168358488709,1,0.688137588930975,0.92168358488709,0.92168358488709,0.92168358488709,0.898749178074427
"RCP2.54",0.871334532878964,0.92168358488709,0.777203683577293,0.688137588930975,0.898749178074427,0.871334532878964,0.871334532878964,0.92168358488709,0.777203683577293,0.726828835082088,0.92168358488709,0.871334532878964,5.25168474221915e-22,0.726828835082088,5.25168474221915e-22,0.92168358488709,0.898749178074427,0.898749178074427,0.92168358488709,0.347573651777449,1,0.777203683577293,0.726828835082088,0.726828835082088,0.726828835082088,0.871334532878964,1,0.92168358488709,0.92168358488709,0.898749178074427,0.347573651777449,0.898749178074427,0.871334532878964,0.777203683577293
"SAR324_clade.Marine_group_B.",0.726828835082088,0.92168358488709,0.898749178074427,0.777203683577293,7.03610885155661e-22,0.726828835082088,0.92168358488709,0.688137588930975,0.92168358488709,0.871334532878964,0.92168358488709,0.898749178074427,0.898749178074427,0.871334532878964,0.898749178074427,0.898749178074427,0.898749178074427,0.898749178074427,0.688137588930975,0.726828835082088,0.898749178074427,0.688137588930975,0.347573651777449,0.347573651777449,0.92168358488709,0.726828835082088,0.898749178074427,0.92168358488709,1,0.347573651777449,0.898749178074427,0.898749178074427,0.92168358488709,0.898749178074427
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",0.92168358488709,0.898749178074427,0.871334532878964,0.92168358488709,0.777203683577293,0.92168358488709,0.726828835082088,0.777203683577293,0.777203683577293,0.898749178074427,0.898749178074427,0.898749178074427,0.898749178074427,0.898749178074427,0.898749178074427,0.92168358488709,0.92168358488709,0.92168358488709,0.777203683577293,0.92168358488709,0.92168358488709,0.871334532878964,0.898749178074427,0.898749178074427,0.898749178074427,0.92168358488709,0.92168358488709,0.898749178074427,0.777203683577293,0.871334532878964,0.92168358488709,0.92168358488709,0.726828835082088,0.92168358488709
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.92168358488709,0.726828835082088,0.92168358488709,1,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.898749178074427,0.898749178074427,0.726828835082088,0.898749178074427,0.898749178074427,0.898749178074427,0.898749178074427,0.871334532878964,0.347573651777449,0.347573651777449,0.777203683577293,0.92168358488709,0.347573651777449,0.92168358488709,0.898749178074427,0.898749178074427,0.726828835082088,0.92168358488709,0.347573651777449,0.726828835082088,0.777203683577293,0.898749178074427,0.871334532878964,0.347573651777449,0.898749178074427,0.92168358488709
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",0.777203683577293,0.898749178074427,0.92168358488709,0.92168358488709,0.777203683577293,0.777203683577293,0.92168358488709,0.347573651777449,0.898749178074427,0.92168358488709,0.898749178074427,0.347573651777449,0.898749178074427,0.92168358488709,0.898749178074427,0.777203683577293,0.871334532878964,0.871334532878964,0.347573651777449,1,0.92168358488709,0.92168358488709,0.92168358488709,0.92168358488709,1,0.777203683577293,0.92168358488709,0.898749178074427,0.92168358488709,0.688137588930975,0.898749178074427,0.871334532878964,0.92168358488709,0.871334532878964
"WS2",0.898749178074427,0.871334532878964,0.92168358488709,0.898749178074427,0.92168358488709,0.898749178074427,0.898749178074427,1,0.871334532878964,0.898749178074427,0.871334532878964,0.92168358488709,0.898749178074427,0.898749178074427,0.898749178074427,0.92168358488709,0.777203683577293,0.777203683577293,1,0.92168358488709,0.347573651777449,0.92168358488709,1,1,0.688137588930975,0.898749178074427,0.347573651777449,0.871334532878964,0.777203683577293,0.898749178074427,0.898749178074427,0.777203683577293,0.898749178074427,0.92168358488709
"unclassified_Bacteria",0.898749178074427,0.871334532878964,0.898749178074427,0.92168358488709,0.726828835082088,0.898749178074427,0.777203683577293,0.871334532878964,0.871334532878964,0.777203683577293,0.871334532878964,0.92168358488709,0.92168358488709,0.777203683577293,0.92168358488709,0.92168358488709,0.92168358488709,0.92168358488709,0.871334532878964,0.92168358488709,0.898749178074427,0.726828835082088,0.871334532878964,0.871334532878964,0.92168358488709,0.898749178074427,0.898749178074427,0.871334532878964,0.726828835082088,0.777203683577293,0.898749178074427,0.92168358488709,0.777203683577293,0.898749178074427
