"","Unclassified","Fatty.Acyls","Organooxygen.compounds","Hydroxy.acids.and.derivatives","Organic.phosphonic.acids.and.derivatives","Heteroaromatic.compounds","Phenols","Organic.sulfuric.acids.and.derivatives","Diazines","Organic.carbonic.acids.and.derivatives","Keto.acids.and.derivatives","Dihydrofurans","Lactones","Organic.sulfonic.acids.and.derivatives","Carboxylic.acids.and.derivatives","Benzene.and.substituted.derivatives","Azoles","Quinolines.and.derivatives","Cinnamic.acids.and.derivatives","Benzothiazoles","Imidazopyrimidines","Pyrans","Tropane.alkaloids","Other.mixed.metal.non.metal.oxoanionic.compounds","Pyridines.and.derivatives","Phenol.ethers","Indolizidines","Indoles.and.derivatives","Thiazinanes","Thiosulfinic.acid.esters","Isocoumarans","Phenylpropanoic.acids","Furans","Prenol.lipids","Benzopyrans","Naphthalenes"
"Nitrospirota",0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625
"Patescibacteria",0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.68270221116389,0.925012279375625,6.2556832958787e-22,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625
"Planctomycetota",0.910644148807793,1.01107110387914e-21,0.910644148807793,0.925012279375625,1,0.910644148807793,0.925012279375625,1,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,1,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625
"Proteobacteria",0.910644148807793,6.2556832958787e-22,0.910644148807793,0.925012279375625,1,0.910644148807793,0.925012279375625,1,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,1,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625
"RCP2.54",0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,1,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.68270221116389,0.925012279375625,1,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1
"SAR324_clade.Marine_group_B.",0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.68270221116389
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",0.910644148807793,0.925012279375625,1,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.910644148807793
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",6.2556832958787e-22,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.68270221116389,6.2556832958787e-22,0.925012279375625,0.68270221116389,0.925012279375625,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,1,1.01107110387914e-21,1,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793
"WS2",0.925012279375625,0.910644148807793,0.925012279375625,0.68270221116389,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,1,0.925012279375625,1,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.68270221116389,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625
"unclassified_Bacteria",0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1.01107110387914e-21,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,1,0.910644148807793,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.925012279375625,0.910644148807793,0.910644148807793,0.910644148807793
