Treatment,Compound,log2FC
Vinylogous acids,Diazines,
2-arylbenzofuran flavonoids,Organic carbonic acids and derivatives,
5'-deoxyribonucleosides,Organic carbonic acids and derivatives,
Acenaphthylenes,Organic carbonic acids and derivatives,
Acyl halides,Organic carbonic acids and derivatives,
"Allyl-type 1,3-dipolar organic compounds",Organic carbonic acids and derivatives,
Amaryllidaceae alkaloids,Organic carbonic acids and derivatives,
Angucyclines,Organic carbonic acids and derivatives,
Anthracenes,Organic carbonic acids and derivatives,
Aporphines,Organic carbonic acids and derivatives,
Arylnaphthalene lignans,Organic carbonic acids and derivatives,
Aryltetralin lignans,Organic carbonic acids and derivatives,
Aspidofractine alkaloids,Organic carbonic acids and derivatives,
Aspidospermatan-type alkaloids,Organic carbonic acids and derivatives,
Azaphilones,Organic carbonic acids and derivatives,
Azaspirodecane derivatives,Organic carbonic acids and derivatives,
Azepanes,Organic carbonic acids and derivatives,
Azepines,Organic carbonic acids and derivatives,
Azetidines,Organic carbonic acids and derivatives,
Azoles,Organic carbonic acids and derivatives,
Azolidines,Organic carbonic acids and derivatives,
Benzazepines,Organic carbonic acids and derivatives,
Benzene and substituted derivatives,Organic carbonic acids and derivatives,
Benzodiazepines,Organic carbonic acids and derivatives,
Benzodioxoles,Organic carbonic acids and derivatives,
Benzofurans,Organic carbonic acids and derivatives,
Benzophenanthridine alkaloids,Organic carbonic acids and derivatives,
Benzopyrans,Organic carbonic acids and derivatives,
Benzothiazoles,Organic carbonic acids and derivatives,
Benzoxazines,Organic carbonic acids and derivatives,
Benzoxepines,Organic carbonic acids and derivatives,
Bi- and oligothiophenes,Organic carbonic acids and derivatives,
Carboximidic acids and derivatives,Organic carbonic acids and derivatives,
Carboxylic acids and derivatives,Organic carbonic acids and derivatives,
Cinnamic acids and derivatives,Organic carbonic acids and derivatives,
Coumarins and derivatives,Organic carbonic acids and derivatives,
Cycloheptapyrans,Organic carbonic acids and derivatives,
Daphniphylline-type alkaloids,Organic carbonic acids and derivatives,
Depsides and depsidones,Organic carbonic acids and derivatives,
Diarylheptanoids,Organic carbonic acids and derivatives,
Diazanaphthalenes,Organic carbonic acids and derivatives,
Diazines,Organic carbonic acids and derivatives,
Dibenzylbutane lignans,Organic carbonic acids and derivatives,
Dihydrofurans,Organic carbonic acids and derivatives,
Dihydroisoquinolines,Organic carbonic acids and derivatives,
Dioxanes,Organic carbonic acids and derivatives,
Ergoline and derivatives,Organic carbonic acids and derivatives,
Fatty Acyls,Organic carbonic acids and derivatives,
Flavonoids,Organic carbonic acids and derivatives,
Fluorenes,Organic carbonic acids and derivatives,
Furanoid lignans,Organic carbonic acids and derivatives,
Furans,Organic carbonic acids and derivatives,
Furofurans,Organic carbonic acids and derivatives,
Furopyrans,Organic carbonic acids and derivatives,
Gelsemium alkaloids,Organic carbonic acids and derivatives,
Glycerolipids,Organic carbonic acids and derivatives,
Glycerophospholipids,Organic carbonic acids and derivatives,
Harmala alkaloids,Organic carbonic acids and derivatives,
Heteroaromatic compounds,Organic carbonic acids and derivatives,
Hydroxy acids and derivatives,Organic carbonic acids and derivatives,
Imidazodiazepines,Organic carbonic acids and derivatives,
Imidazopyrimidines,Organic carbonic acids and derivatives,
Indanes,Organic carbonic acids and derivatives,
Indoles and derivatives,Organic carbonic acids and derivatives,
Indolizidines,Organic carbonic acids and derivatives,
Indolonaphthyridine alkaloids,Organic carbonic acids and derivatives,
Isobenzofurans,Organic carbonic acids and derivatives,
Isocoumarans,Organic carbonic acids and derivatives,
Isocoumarins and derivatives,Organic carbonic acids and derivatives,
Isoflavonoids,Organic carbonic acids and derivatives,
Isoindoles and derivatives,Organic carbonic acids and derivatives,
Isoquinolines and derivatives,Organic carbonic acids and derivatives,
Keto acids and derivatives,Organic carbonic acids and derivatives,
Lactams,Organic carbonic acids and derivatives,
Lactones,Organic carbonic acids and derivatives,
"Linear 1,3-diarylpropanoids",Organic carbonic acids and derivatives,
Lupin alkaloids,Organic carbonic acids and derivatives,
Macrolactams,Organic carbonic acids and derivatives,
Macrolide lactams,Organic carbonic acids and derivatives,
Macrolides and analogues,Organic carbonic acids and derivatives,
Naphthacenes,Organic carbonic acids and derivatives,
Naphthalenes,Organic carbonic acids and derivatives,
Naphthofurans,Organic carbonic acids and derivatives,
Naphthopyrans,Organic carbonic acids and derivatives,
Neoflavonoids,Organic carbonic acids and derivatives,
Organic carbonic acids and derivatives,Organic carbonic acids and derivatives,
Organic oxides,Organic carbonic acids and derivatives,
Organic phosphonic acids and derivatives,Organic carbonic acids and derivatives,
Organic phosphoric acids and derivatives,Organic carbonic acids and derivatives,
Organic sulfonic acids and derivatives,Organic carbonic acids and derivatives,
Organic sulfuric acids and derivatives,Organic carbonic acids and derivatives,
Organochlorides,Organic carbonic acids and derivatives,
Organonitrogen compounds,Organic carbonic acids and derivatives,
Organooxygen compounds,Organic carbonic acids and derivatives,
Other mixed metal/non-metal oxoanionic compounds,Organic carbonic acids and derivatives,
Oxanes,Organic carbonic acids and derivatives,
Oxepanes,Organic carbonic acids and derivatives,
Oxocins,Organic carbonic acids and derivatives,
Peptidomimetics,Organic carbonic acids and derivatives,
Perylenequinones,Organic carbonic acids and derivatives,
Phenanthrenes and derivatives,Organic carbonic acids and derivatives,
Phenol esters,Organic carbonic acids and derivatives,
Phenol ethers,Organic carbonic acids and derivatives,
Phenols,Organic carbonic acids and derivatives,
Phenylpropanoic acids,Organic carbonic acids and derivatives,
Piperidines,Organic carbonic acids and derivatives,
Plumeran-type alkaloids,Organic carbonic acids and derivatives,
Polycyclic hydrocarbons,Organic carbonic acids and derivatives,
Prenol lipids,Organic carbonic acids and derivatives,
Processing_1,Organic carbonic acids and derivatives,
Processing_2,Organic carbonic acids and derivatives,
Processing_3,Organic carbonic acids and derivatives,
Processing_4,Organic carbonic acids and derivatives,
Pteridines and derivatives,Organic carbonic acids and derivatives,
Purine nucleosides,Organic carbonic acids and derivatives,
Pyrans,Organic carbonic acids and derivatives,
Pyridines and derivatives,Organic carbonic acids and derivatives,
Pyridopyrimidines,Organic carbonic acids and derivatives,
Pyrimidine nucleosides,Organic carbonic acids and derivatives,
Pyrroles,Organic carbonic acids and derivatives,
Pyrrolidines,Organic carbonic acids and derivatives,
Pyrrolines,Organic carbonic acids and derivatives,
Pyrrolizidines,Organic carbonic acids and derivatives,
Pyrrolizines,Organic carbonic acids and derivatives,
Quinolines and derivatives,Organic carbonic acids and derivatives,
Quinolizidines,Organic carbonic acids and derivatives,
Quinolizines,Organic carbonic acids and derivatives,
Saccharolipids,Organic carbonic acids and derivatives,
"Saxitoxins, gonyautoxins, and derivatives",Organic carbonic acids and derivatives,
Sphingolipids,Organic carbonic acids and derivatives,
Steroids and steroid derivatives,Organic carbonic acids and derivatives,
Stilbenes,Organic carbonic acids and derivatives,
Strychnos alkaloids,Organic carbonic acids and derivatives,
Sulfoxides,Organic carbonic acids and derivatives,
Tannins,Organic carbonic acids and derivatives,
Tetrahydrofurans,Organic carbonic acids and derivatives,
Tetrahydroisoquinolines,Organic carbonic acids and derivatives,
Tetralins,Organic carbonic acids and derivatives,
Tetrapyrroles and derivatives,Organic carbonic acids and derivatives,
Thiazinanes,Organic carbonic acids and derivatives,
Thiosulfinic acid esters,Organic carbonic acids and derivatives,
Trithiolanes,Organic carbonic acids and derivatives,
Tropane alkaloids,Organic carbonic acids and derivatives,
Tropones,Organic carbonic acids and derivatives,
Unclassified,Organic carbonic acids and derivatives,
Unsaturated hydrocarbons,Organic carbonic acids and derivatives,
Vinylogous acids,Organic carbonic acids and derivatives,
