OTU ID,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
ASV_585,6,0,0,0,0
ASV_586,0,0,0,0,0
ASV_587,0,0,0,0,0
ASV_588,0,0,0,0,0
ASV_589,0,0,0,0,0
ASV_591,0,0,0,0,0
ASV_592,0,0,0,0,0
ASV_594,0,0,0,0,0
ASV_596,0,0,0,2,0
ASV_597,0,0,0,0,0
ASV_598,0,0,29,0,0
ASV_600,0,0,0,0,0
ASV_601,0,0,0,0,0
ASV_602,0,0,0,0,0
ASV_603,0,0,0,0,0
ASV_604,4,0,0,0,0
ASV_606,0,0,0,0,0
ASV_608,0,0,0,0,0
ASV_609,0,0,0,0,0
ASV_610,0,0,0,0,0
ASV_611,6,0,0,0,4
ASV_612,0,0,0,0,0
ASV_613,0,0,0,0,0
ASV_614,0,0,0,0,3
ASV_615,0,0,0,0,0
ASV_617,0,0,0,0,0
ASV_618,0,0,0,0,0
ASV_619,0,0,0,0,0
ASV_620,0,0,0,0,0
ASV_621,0,0,0,0,0
ASV_622,0,0,0,0,0
ASV_623,0,0,0,0,0
ASV_625,0,0,2,0,0
ASV_626,0,0,0,0,0
ASV_629,0,0,0,0,0
ASV_630,0,19,0,0,0
ASV_631,0,0,0,0,0
ASV_632,3,0,0,0,0
ASV_634,0,0,0,0,0
ASV_635,4,0,0,0,0
ASV_636,0,0,0,0,0
ASV_639,0,0,0,0,0
ASV_640,0,0,0,0,0
ASV_641,0,0,0,0,0
ASV_642,0,0,0,0,0
ASV_643,0,0,0,0,0
ASV_644,0,0,0,0,0
ASV_645,0,0,0,0,0
ASV_647,0,0,0,0,0
ASV_648,0,0,0,0,0
ASV_649,0,0,0,0,0
ASV_650,0,0,0,0,10
ASV_652,0,0,0,0,0
ASV_653,0,0,0,0,0
ASV_655,0,0,0,0,0
ASV_658,0,0,0,0,0
ASV_660,0,0,0,0,0
ASV_661,0,0,0,0,0
ASV_662,0,0,0,0,0
ASV_664,15,63,57,29,0
ASV_665,0,0,0,0,0
ASV_666,0,0,0,0,1
ASV_667,0,0,0,0,0
ASV_668,0,0,0,0,0
ASV_672,0,0,0,0,0
ASV_673,0,0,0,0,0
ASV_675,0,0,0,0,0
ASV_677,0,0,0,0,0
ASV_678,0,0,0,0,0
ASV_679,0,0,0,0,0
ASV_681,0,0,0,0,0
ASV_683,0,14,0,0,0
ASV_684,0,0,0,0,0
ASV_690,0,0,0,0,0
ASV_691,0,0,2,0,0
ASV_692,0,0,0,0,0
ASV_693,0,0,0,0,0
ASV_695,0,0,0,0,0
ASV_696,0,0,0,0,0
ASV_698,0,0,0,0,0
ASV_699,0,0,0,0,0
ASV_701,0,0,0,0,0
ASV_702,0,0,0,0,0
ASV_703,0,0,0,6,0
ASV_705,0,0,0,0,0
ASV_706,29,9,0,18,15
ASV_707,0,0,0,0,0
ASV_710,0,0,0,0,0
ASV_711,0,0,0,0,0
ASV_712,0,5,3,0,0
ASV_714,0,0,0,0,0
ASV_715,0,0,0,0,0
ASV_716,0,0,0,0,0
ASV_717,0,0,0,0,0
ASV_718,0,0,0,0,0
ASV_719,0,0,0,0,0
ASV_720,0,0,0,0,0
ASV_722,0,0,0,0,0
ASV_723,0,0,0,0,0
ASV_724,0,0,0,0,2
ASV_725,0,0,0,0,0
ASV_727,0,0,0,0,0
ASV_728,0,0,0,0,0
ASV_729,0,12,0,0,0
ASV_731,0,0,0,0,0
ASV_732,0,0,0,8,0
ASV_733,0,0,0,0,0
ASV_735,0,0,0,0,0
ASV_736,0,0,0,0,0
ASV_738,0,0,0,0,0
ASV_740,0,0,0,0,0
ASV_742,0,0,0,0,2
ASV_745,0,0,2,0,0
ASV_746,0,0,0,0,0
ASV_747,0,0,0,0,0
ASV_748,0,0,0,0,0
ASV_749,0,0,0,0,0
ASV_750,0,0,0,0,0
ASV_751,0,0,0,0,0
ASV_752,0,0,0,0,0
ASV_753,0,0,0,0,0
ASV_754,0,0,0,0,0
ASV_755,4,0,0,0,0
ASV_759,0,0,0,0,0
ASV_760,0,1,0,0,0
ASV_761,5,0,0,0,0
ASV_762,0,0,0,0,0
ASV_763,0,0,0,0,0
ASV_764,0,0,0,0,0
ASV_765,0,6,0,0,0
ASV_766,0,0,0,0,0
ASV_767,0,0,0,0,0
ASV_768,0,2,0,0,0
ASV_770,0,0,2,0,0
ASV_772,0,0,0,0,0
ASV_773,0,0,0,0,0
ASV_774,0,3,0,0,0
ASV_775,0,0,0,0,0
ASV_777,0,9,0,0,0
ASV_778,0,0,0,0,0
ASV_781,0,0,0,0,0
ASV_782,0,0,0,0,0
ASV_784,0,0,0,0,0
ASV_785,0,0,0,0,0
ASV_786,0,0,0,0,0
ASV_787,3,0,0,0,0
ASV_788,0,5,0,0,0
ASV_789,0,0,0,0,0
ASV_790,0,0,0,0,0
ASV_792,3,0,0,2,0
ASV_793,0,0,0,0,0
ASV_794,0,0,0,0,0
ASV_795,0,0,0,0,0
ASV_797,0,0,0,0,0
ASV_798,5,0,0,0,0
ASV_800,0,0,0,0,0
ASV_801,0,0,0,0,0
ASV_802,0,0,0,0,0
ASV_803,0,0,0,0,2
ASV_804,0,0,0,0,4
ASV_805,0,0,0,0,0
ASV_806,0,0,0,2,0
ASV_807,0,0,0,0,0
ASV_810,2,0,0,0,0
ASV_811,0,0,0,0,0
ASV_812,0,0,0,0,0
ASV_814,0,0,0,0,0
ASV_815,0,0,0,0,0
ASV_816,2,0,0,0,0
ASV_817,0,0,1,0,0
ASV_818,0,0,0,0,0
ASV_819,0,0,0,0,0
ASV_820,0,0,0,0,0
ASV_821,0,0,0,0,0
ASV_822,0,0,0,0,0
ASV_824,0,0,0,0,0
ASV_825,0,0,0,0,0
ASV_826,0,0,0,0,0
ASV_827,0,0,0,0,0
ASV_828,0,0,3,0,0
ASV_829,0,0,0,0,0
ASV_830,0,0,0,0,0
ASV_831,0,0,0,0,0
ASV_832,0,0,0,0,0
ASV_835,0,0,0,0,0
ASV_838,0,0,0,0,2
ASV_839,1,0,0,0,0
ASV_840,0,0,0,0,0
ASV_841,0,1,0,0,0
ASV_842,0,0,5,0,0
ASV_843,0,0,0,0,0
ASV_844,0,0,0,0,0
ASV_845,0,0,0,0,0
ASV_846,0,22,0,0,0
ASV_847,0,0,0,0,0
ASV_848,3,0,0,0,0
ASV_849,0,0,0,0,0
ASV_851,2,0,0,0,0
ASV_853,0,0,0,0,0
ASV_854,0,0,0,0,0
ASV_855,0,0,0,0,0
ASV_856,0,0,0,0,0
ASV_858,0,0,0,0,0
ASV_859,0,0,0,0,0
ASV_861,0,0,0,0,0
ASV_866,0,0,0,0,0
ASV_867,0,0,0,0,0
ASV_868,0,0,0,0,0
ASV_869,0,0,0,0,0
ASV_870,0,0,0,0,0
ASV_871,0,0,0,0,0
ASV_872,0,6,0,0,0
ASV_873,0,0,0,0,0
ASV_875,0,0,0,0,0
ASV_876,0,0,0,0,0
ASV_877,0,0,0,4,0
ASV_878,0,0,0,0,0
ASV_879,0,0,0,0,0
ASV_880,0,0,0,0,0
ASV_881,0,0,0,0,0
ASV_883,0,0,0,0,0
ASV_884,0,0,0,0,4
ASV_886,0,0,3,0,0
ASV_888,0,0,0,0,0
ASV_889,0,0,2,0,0
ASV_890,0,0,0,0,0
ASV_891,0,0,0,0,0
ASV_892,0,0,0,0,0
ASV_893,0,0,0,0,0
ASV_895,2,0,0,0,0
ASV_898,0,0,0,0,0
ASV_899,0,0,0,0,0
ASV_900,0,0,0,0,0
ASV_901,0,0,0,0,0
ASV_902,8,0,8,6,0
ASV_904,0,0,0,0,0
ASV_908,0,0,0,0,0
ASV_909,0,0,0,0,0
ASV_910,0,8,0,0,0
ASV_911,0,0,0,0,8
ASV_912,0,0,0,0,0
ASV_913,0,0,0,0,0
ASV_914,2,0,0,0,0
ASV_915,0,0,0,0,0
ASV_916,0,0,0,0,0
ASV_917,0,0,0,0,0
ASV_918,0,0,0,0,0
ASV_919,2,0,0,0,0
ASV_920,0,0,0,0,0
ASV_921,0,0,0,0,0
ASV_922,0,0,0,0,0
ASV_925,0,0,0,0,0
ASV_927,16,0,0,17,29
ASV_928,0,0,0,0,0
ASV_929,0,0,0,0,0
ASV_930,0,0,0,0,0
ASV_931,0,0,0,0,0
ASV_932,0,0,0,0,0
ASV_933,19,0,0,0,17
ASV_934,0,0,0,0,0
ASV_938,0,0,0,0,0
ASV_939,0,14,0,0,0
ASV_940,0,0,0,0,0
ASV_941,0,0,0,0,0
ASV_942,0,0,0,0,0
ASV_943,0,0,0,0,0
ASV_946,0,0,0,0,0
ASV_950,0,0,0,0,0
ASV_951,0,0,0,0,0
ASV_953,0,0,0,0,0
ASV_955,0,0,0,0,0
ASV_956,0,0,0,0,0
ASV_957,0,0,0,0,0
ASV_958,0,0,0,0,0
ASV_962,0,0,0,0,0
ASV_963,0,0,0,0,0
ASV_965,0,0,0,0,0
ASV_967,0,0,0,0,0
ASV_968,0,0,0,0,0
ASV_969,0,0,0,0,0
ASV_970,0,0,0,0,0
ASV_971,0,0,0,0,0
ASV_972,0,10,0,0,0
ASV_973,0,2,0,0,0
ASV_975,0,0,4,0,0
ASV_976,0,0,0,0,0
ASV_977,0,0,0,0,0
ASV_978,0,0,0,0,0
ASV_979,0,0,0,0,0
ASV_980,5,0,0,0,0
ASV_982,0,0,0,0,0
ASV_983,0,0,0,0,0
ASV_985,0,0,0,0,0
ASV_987,0,0,0,0,0
ASV_989,0,0,0,0,0
ASV_990,0,0,0,0,0
ASV_992,0,0,0,0,0
ASV_993,0,0,0,0,0
ASV_994,0,0,0,0,0
ASV_995,0,0,0,0,0
ASV_996,0,0,2,0,0
ASV_998,0,0,0,0,0
ASV_999,0,0,0,0,0
ASV_1000,0,0,0,0,0
ASV_1001,0,0,0,0,0
ASV_1003,0,0,0,0,0
ASV_1004,0,0,0,0,0
ASV_1006,0,0,0,0,0
ASV_1007,0,0,0,0,0
ASV_1009,0,8,0,0,0
ASV_1011,0,0,0,0,0
ASV_1014,0,0,0,0,0
ASV_1015,0,0,0,0,0
ASV_1017,45,32,29,42,28
ASV_1018,0,0,0,0,0
ASV_1019,7,0,7,0,0
ASV_1020,0,0,0,0,0
ASV_1022,0,4,0,0,0
ASV_1023,0,0,0,0,3
ASV_1024,0,0,0,0,0
ASV_1025,0,0,0,0,0
ASV_1026,0,0,0,0,0
ASV_1027,0,0,0,0,0
ASV_1029,0,0,0,0,0
ASV_1030,0,0,0,0,0
ASV_1031,0,0,0,0,0
ASV_1032,0,0,0,0,0
ASV_1034,0,0,0,2,0
ASV_1035,0,0,0,0,0
ASV_1036,0,0,0,0,0
ASV_1037,0,0,0,2,0
ASV_1042,0,21,0,0,0
ASV_1044,0,0,0,0,0
ASV_1045,0,0,0,0,0
ASV_1048,0,0,9,0,0
ASV_1049,0,3,0,0,0
ASV_1050,3,0,0,0,0
ASV_1051,0,0,0,0,0
ASV_1052,0,0,0,0,0
ASV_1054,0,0,0,0,0
ASV_1055,0,0,0,0,0
ASV_1058,0,0,0,0,0
ASV_1059,0,0,0,0,0
