ID,YS0_F,YS25_F,YS50_F,YS75_F,YS100_F,
MP11221.pos,18510002.1,5403453.761,1854572.521,2760349.778,1102727.237,Unclassified
MP11222.pos,179211.0073,323640.3792,245316.3815,295275.9974,176965.5378,Unclassified
MP11224.pos,2149224.187,958721.5788,702760.1304,971489.5866,1141685.185,Unclassified
MP11229.pos,224477.5732,44659.877,2463134.391,88487.81859,32645.10484,Prenol lipids
MP11230.pos,549380.6405,1518316.081,745307.649,982768.2826,1004341.912,Unclassified
MP11231.pos,551558.6805,78234.61335,2609310.141,958116.9188,136570.2568,Unclassified
MP11232.pos,947522.1159,36533.7299,37653.80558,59377.76267,28047.71698,Unclassified
MP11233.pos,539332.1748,16910.01142,4321.599413,71115.19731,3460.489007,Unclassified
MP11234.pos,10706627.64,45445.60607,71051.59425,264352.375,157511.2035,Steroids and steroid derivatives
MP11236.pos,487960.3938,75802.00737,50282.72876,70164.78169,56267.6885,0
MP11238.pos,577921.3696,1364605.529,738325.4799,710968.6364,592203.5264,Unclassified
MP11239.pos,1670897.534,1109740.676,4103829,1399342.773,2396117.658,Unclassified
MP11240.pos,362431.4841,246593.3313,59964.49182,185299.1457,77335.73547,Unclassified
MP11243.pos,917082.8034,504056.2625,841036.4234,628184.2502,702301.8039,Unclassified
MP11244.pos,1851691.285,2238932.674,1507414.374,1743508.036,1616613.629,Unclassified
MP11245.pos,205666.9717,428280.8788,190250.3231,484593.6168,396894.396,Unclassified
MP11261.pos,21948.65615,13323.71091,27791.4524,24821.77386,11499.59789,Unclassified
MP11268.pos,22383.77786,15774.67619,16259.8191,37338.9022,22200.85662,Unclassified
MP11269.pos,28887.91451,25276.15414,10678.74586,10288.57057,14071.11972,Unclassified
MP11270.pos,20999.62464,25661.67178,21926.95879,12870.47217,11176.53629,Unclassified
MP11271.pos,26500.65275,14660.12066,13152.74868,19509.09229,18623.27028,Unclassified
MP11274.pos,147092.2699,134472.8456,138989.6122,141600.2001,129143.9337,Unclassified
MP11275.pos,79237.90314,191532.545,147301.1662,255287.6345,209494.5072,Unclassified
MP11276.pos,2944988.116,3071048.279,2820498.908,2810725.466,2949807.368,Unclassified
MP11277.pos,79877.80204,98867.3189,102473.8284,103224.8991,76993.55282,Unclassified
MP11278.pos,65010.62466,5252.316674,7625.175343,5174.341815,7708.861508,Unclassified
MP11283.pos,1127011.458,3251881.874,1829736.994,1267000.922,3144209.414,Unclassified
MP11284.pos,10053328.92,25991215.75,17371554.81,10180205.98,26419626.23,Unclassified
MP11289.pos,1014683.767,585060.9496,502406.8449,658316.1381,561230.2934,Unclassified
MP11294.pos,1912171.471,877339.3921,2235256.605,1945495.519,1678459.632,Unclassified
MP11295.pos,34556.12886,327290.8809,72992.73581,19682.49881,83025.24947,Unclassified
MP11296.pos,401817.6445,44719.33223,9517521.054,201619.3512,2105593.714,Unclassified
MP11297.pos,1143964.707,1639766.865,1199685.252,2139603.949,932624.7819,Organooxygen compounds
MP11298.pos,1323363.443,1348672.726,1258001.481,1761878.43,1060455.175,Unclassified
MP11299.pos,5291.734191,7762.751115,4396.932564,8025.410511,7340.740708,Unclassified
MP11300.pos,328926.6681,226406.7636,379783.1227,323006.4647,377403.902,Unclassified
MP11301.pos,369067.9986,441170.6574,507657.1295,521287.5128,478532.4231,Organonitrogen compounds
MP11302.pos,68116648.93,45558223.09,37540324.05,36602525.95,39263536.99,Organonitrogen compounds
MP11303.pos,459294.6838,306169.5319,593035.4946,651178.6021,675322.094,Unclassified
MP11304.pos,9813416.143,9964542.987,12423673.38,12474604.99,6490519.177,Unclassified
MP11305.pos,2211664.57,8656503.112,7744736.571,2065129.941,10604489.71,Unclassified
MP11306.pos,770193.8983,1197597.067,1059266.755,1342677.193,1231601.507,Unclassified
MP11307.pos,471932.7477,901933.6733,578063.3321,1030492.991,554246.9219,Unclassified
MP11320.pos,949719.5304,441624.9411,1194681.225,1011743.621,884822.5634,Unclassified
